epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,207.5227328482328,784.7543278950634,615839.3551500327,25.84745576681453,1250.0791078656014,2535.453830045943,9244.903224348327,58971.39470028763
0.015,207.4256978052146,791.82491113898,626986.6899002536,25.54235166270504,1228.0720703834593,2587.4301947205963,9392.752918283551,59345.005236378485
0.045,207.51191896734804,816.4858050062784,666649.0697767505,24.690877810331767,1156.2346782051022,2722.2434587243724,9667.83342048929,59800.52317561366
0.1,207.62225507064517,829.6246513421202,688277.0621145344,24.467441554722342,1125.5834682805187,2757.1559684977437,9955.748587670907,59897.907171143495
