epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,206.99739322413473,1091.1336371537295,1190572.6141283265,48.79258220151904,3678.8992931468974,2538.624286897231,9267.821731700678,113712.85247786142
0.015,206.72213633533883,1095.096871000456,1199237.1568749894,48.44878490530514,3643.9625678317725,2603.3414633317384,9442.148458955422,113782.63546610442
0.045,205.98035784247057,1105.6330801217623,1222424.5078595355,47.33672722357332,3527.165376125148,2682.6692488206527,9529.683105476583,113852.42727213794
0.1,205.70873880347122,1109.6391501570738,1231299.043561313,46.90660409587594,3480.3197620154615,2711.189010512407,9526.93921038965,113865.1139250605
