epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,224.20571494475178,934.9681578472688,874165.4561883154,37.914731352249056,2925.428028134242,2703.3570581972244,10170.55318875131,104073.79111771053
0.015,224.2420614247312,940.2965042819011,884157.5159647632,37.23960950766787,2845.684924842637,2720.4368150257105,10135.952516256917,103891.07865513403
0.045,224.55262090224952,962.2150843905375,925857.8686286893,35.21119705362461,2593.55517801135,2854.420301408802,10711.217893058609,103739.75441886317
0.1,224.70331124653538,973.6389414977067,947972.7884007748,34.49682132616742,2488.279354968186,2876.976482652332,10797.678246735553,103714.11631405154
