epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,209.0329787438303,781.1239911920392,610154.689615781,27.149350115591353,1386.8170483428983,2430.4719603319722,8680.02076429645,62978.891649186335
0.015,208.90934376546502,786.7086287050871,618910.4664790386,26.690390271643594,1351.2769244880421,2479.2783397670846,8655.709557629045,63025.21505780389
0.045,208.62834924398803,803.1599982401549,645065.9827731256,25.3972078318846,1248.9786362372613,2613.3606615364633,8790.163273932885,63056.019526007934
0.1,208.5192668460025,810.0264288613319,656142.8154538424,24.941286014306417,1210.122524947524,2641.280310176854,9038.142558534357,63064.86984070663
