epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,220.0106312529015,875.5426365922385,766574.9084908887,46.127873509452314,4916.166831519364,2594.7838433107327,9418.373749258382,117646.980582381
0.015,220.0713562191959,880.1541495804009,774671.3270235987,45.39341205920881,4803.634923215642,2629.4333876196856,9425.672025678034,117571.28770039987
0.045,220.55289501332567,899.482165594991,809068.1662234549,42.76123989305307,4382.748982427248,2789.694656787224,9537.840834937679,117374.40341250076
0.1,220.77681144897738,912.0668437743693,831865.9275125399,41.6833065629312,4164.273115942534,2811.350233351967,9646.600942208255,117323.88858675303
