epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,195.88298316834468,817.8226833256934,668833.9413620376,43.499956224846905,3243.308723460874,2266.582060851456,7771.063104578669,77732.0267499429
0.015,195.83464794657385,822.9165198103093,677191.5985767111,42.89884663835285,3180.2936677943653,2317.7600359191824,7756.499370390501,77860.556989406
0.045,195.3953782385291,836.8641809097937,700341.65728982,41.05590663894219,2983.1193164162614,2451.429062478515,8131.325430186015,77936.6227550496
0.1,195.18609462158355,842.402520169163,709642.0059873572,40.382836248964495,2907.5443487684706,2482.3388831697052,8171.7056498667,77944.00793508887
