epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,170.4061181021353,582.120793208956,338864.6178862242,15.592147942772966,404.6322968770316,2097.514281027424,7504.7908469751,27249.17254902929
0.015,170.20892353458274,587.9981856740739,345741.8663560026,15.257780761436262,389.9709901244036,2129.226931688303,7642.473909273287,27283.534529623685
0.045,169.7882805618644,606.8700560878948,368291.2649761246,14.565176530535586,356.3765161247901,2222.2880377283254,7727.95138429841,27288.525463822338
0.1,169.68031163169076,617.5741840335564,381397.872784713,14.870393076661944,376.5641794814487,2276.773302832022,7778.644366117884,27284.44835228583
