epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,208.51306253497106,747.6583905601348,558993.0689749711,22.11826579338919,952.930711256599,2402.2303385738246,9064.857014418623,58678.77724057926
0.015,208.14522644463577,752.9939806540582,566999.9349012442,21.811017711454415,933.3110945053381,2437.1724724030532,9083.089259884058,58812.046419441605
0.045,206.98880727158274,765.5078440068194,586002.2592359689,21.01715434446824,882.0483868208212,2563.23438499769,9205.954389655471,58963.36751583471
0.1,206.577275882645,769.9312090696553,592794.0666994613,20.753673808448827,863.5548462759205,2606.5211505164666,9285.384490878494,58972.251526802516
