epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,178.69713467008617,791.157204385691,625929.7220513821,44.61511864590398,3470.1411229216023,2105.0466319865873,8323.158621609275,78277.04934023085
0.015,178.79195435989197,798.9449259045901,638312.9946286911,43.73245934117487,3347.5059016647815,2168.5711153523544,8312.729042191195,78097.94125246935
0.045,179.15604888310853,821.5022695381919,674865.9788564,41.19823558688418,3027.943616337943,2348.231334386899,8550.038771415124,77872.22445669415
0.1,179.2996341720492,831.496901657177,691387.097465485,40.20699660123024,2899.9630996155374,2377.3141852181375,8645.003049363846,77823.28859630282
