epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,184.82619527217076,679.3060746722124,461456.7430865694,23.43092487793452,1047.275447970665,2252.959940534813,8681.045894998268,45990.287971168
0.015,184.68315906251266,685.3601978001988,469718.6007287275,23.01322727929594,1019.2091271303602,2307.6248231037844,8635.9242166707,46191.52942668129
0.045,184.738214900936,708.0593377767825,501348.02581289585,21.698928798084584,913.5590246348181,2432.6581948482817,8974.975783580554,46411.627188182785
0.1,184.8145425111284,721.1829076087961,520104.78622707725,21.49216174564958,879.0247668699158,2486.9680629348572,9043.05693454544,46441.19445808562
