epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,188.58180690756262,646.1390577989443,417495.6820133075,18.19145007879304,597.6736518801598,2268.7433523079444,8407.904619835843,35820.14354155404
0.015,188.59947550468073,651.7120869333504,424728.64425502287,17.810469798007613,577.8313678813981,2288.13782049381,8436.925340164906,35738.23495868454
0.045,188.90283583715015,675.6241504192672,456467.9926297565,16.80085805382567,513.6378544630996,2465.172074453707,8572.249967948004,35651.85026578052
0.1,189.03098798100356,688.5051154774409,474039.29403860425,16.779471059625067,503.68258354522686,2503.3101813268904,8688.436455535664,35632.68995253493
