epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,199.57731127050027,787.9464942111665,620859.6777396679,36.75310576184183,2743.2180225599272,2431.466015427558,8686.931236799688,76417.9424703926
0.015,199.4596497470061,792.9398529189369,628753.6103471054,36.068204492949256,2670.0305737773324,2511.5433115181636,8657.595455131564,76392.8734051019
0.045,199.21871478671187,809.4460679939779,655202.9369909114,34.181174073803255,2462.0179736265827,2592.3460837583752,8974.899679780501,76317.73145388818
0.1,199.13377455595605,816.590457730017,666819.9756557186,33.487890917885146,2379.9008744307894,2630.18892870826,9109.9735405344,76293.47019014489
