epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,191.0188825704786,751.7109430756326,565069.341939657,30.89973598747195,1876.6567500079354,2295.1949185178573,8662.077088473518,65828.30680954854
0.015,190.97517874033744,756.6147367351117,572465.8598447423,30.403838462124092,1834.2406763919566,2319.609491888437,8712.490452574813,65900.16816694483
0.045,190.63346586364707,770.9586147198298,594377.185610719,29.044357470860408,1710.9161185646294,2492.96665920043,8884.814322386905,66070.35829876494
0.1,190.43165685344619,776.2233407464564,602522.6747195894,28.60007882318886,1667.7986300219027,2528.778690133984,8918.64097755327,66105.85316740605
