epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,221.6037218862093,782.2690139787161,611944.8102312328,28.083432373653775,1673.5453997823624,2556.0731525101164,8986.944046179684,72814.58077316583
0.015,221.78350839049898,788.1647473309703,621203.6689352923,27.499956706268065,1620.302435956456,2596.51226681546,9021.291079814715,72692.10595255424
0.045,221.66527474782714,802.6579874040882,644259.8447435815,26.194399432633354,1504.45276681302,2749.9298607569317,9002.514587532505,72544.63054394683
0.1,221.53997025159222,808.1497679777659,653106.047482517,25.758776662143458,1464.386033815697,2820.281029450915,9009.84272341915,72513.60912662178
