epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,202.70497218997255,759.114125183795,576254.2550535584,27.29618651755438,1408.1657444802593,2342.5456474522766,9055.920664029105,57907.03728577044
0.015,202.55835830689486,764.116738588565,583874.3901912253,26.856044831729125,1377.5698099034353,2407.4765516619573,8999.905806354767,58114.02014696744
0.045,201.9659975847776,778.0781644116768,605405.6299342443,25.656595955562043,1287.9795410388647,2554.952363987412,9014.035789287866,58339.360780565665
0.1,201.7288230642379,783.4604830796206,613810.3285473525,25.24557985792027,1254.997696672318,2599.3472594518526,9314.765614203227,58385.8561210075
