epsilon,mean,std,variance,skewness,kurtosis,p99,p999,max
0.005,210.03846396127116,915.1316859782386,837466.0026813734,43.43112903202248,3454.2762871620157,2469.4915257464277,8842.280625657788,96270.93730049221
0.015,209.54788727941698,919.4307280574177,845352.8636961932,42.89440028927003,3392.345621783125,2493.601992701913,8883.29928355915,96313.1492224566
0.045,208.61268146362698,930.9164036531521,866605.3505905183,41.38922476209802,3218.8109153658534,2647.382014052834,8986.071553376822,96196.23433212968
0.1,208.3562099438822,935.8479884844018,875811.457550301,40.80236599085264,3149.142834161754,2721.4128331451993,9112.703374582916,96153.52758632418
